8.89	1.2	8.084
9.16	9.1	8.717
9.44	21.1	9.647
9.71	21.7	9.769
9.98	30	10.43
10.25	38.9	11.143
10.52	45.4	11.678
10.8	46.5	11.845
11.07	56.8	12.646
11.34	69	13.58
11.61	76	14.15
11.88	90.3	15.241
12.16	104.2	16.294
12.43	129.3	18.131
12.7	148.8	19.586
12.97	169.4	21.108
13.24	200.4	23.358
13.52	220.3	24.841
13.79	250	27
14.06	272.1	28.627
14.33	296.3	30.411
14.6	300.7	30.799
14.88	308.1	36.557
15.15	300.2	36.064
15.42	298.9	36.023
15.69	285.7	35.149
15.96	277	34.59
16.24	261.954	33.4343
16.51	255.618	33.0502
16.78	248.902	30.35593796
17.05	251.174	27.01636863
17.32	242.496	22.49755448
17.6	236.583	19.71537237
17.87	230.104	18.47496206
18.14	218.344	17.66944527
18.41	209.426	17.42380734
18.68	195.804	17.10093183
18.96	182.554	16.70570403
19.23	164.997	16.18623839
19.5	168.295	16.5537391
19.77	147.936	15.71220297
20.04	147.343	15.95088041
20.32	128.576	15.39897136
20.59	118.09	14.97238198
20.86	119.504	15.06943335
21.13	103.684	14.36724938
21.4	96.525	14.05003769
21.68	94.752	13.76800508
21.95	81.965	13.2181339
22.22	78.57	13.07266866
22.49	79.734	13.15784709
22.76	66.93	9.547188877
23.04	67.706	9.563872116
23.31	63.632	9.390262727
23.58	60.588	9.425021449
23.85	60.956	9.442677462
24.12	61.544	9.467995471
24.4	56.26	9.253965525
24.67	53.932	9.152815489
24.94	38.218	8.470058066
25.21	59.584	9.567710667
25.48	51.744	9.223503915
25.76	57.722	11.29304466
26.03	53.998	11.12954686
26.3	61.348	11.45224078
26.57	63.602	11.55120009
26.84	61.845	11.27322407
27.12	55.335	10.78024793
27.66	51.395	10.07330529
28.2	48.639	9.280940762
28.48	46.035	8.552878552
29.02	45.59	7.831676756
29.56	38.634	7.094796422
30.11	48.355	7.105132486
30.65	40.09	6.77103676
31.2	40.89	6.826597432
